Date,Open,High,Low,Close,Adj Close,Volume
2022-07-28,28.959999,28.959999,28.959999,28.959999,28.326982,0
2022-07-29,29.230000,29.230000,29.230000,29.230000,28.591080,0
2022-08-01,29.200001,29.200001,29.200001,29.200001,28.561737,0
2022-08-02,28.860001,28.860001,28.860001,28.860001,28.229170,0
2022-08-03,29.280001,29.280001,29.280001,29.280001,28.639988,0
2022-08-04,29.379999,29.379999,29.379999,29.379999,28.737801,0
2022-08-05,29.250000,29.250000,29.250000,29.250000,28.610643,0
2022-08-08,29.280001,29.280001,29.280001,29.280001,28.639988,0
2022-08-09,29.150000,29.150000,29.150000,29.150000,28.512829,0
2022-08-10,29.780001,29.780001,29.780001,29.780001,29.129059,0
2022-08-11,29.719999,29.719999,29.719999,29.719999,29.070370,0
2022-08-12,30.049999,30.049999,30.049999,30.049999,29.393156,0
2022-08-15,30.080000,30.080000,30.080000,30.080000,29.422501,0
2022-08-16,30.190001,30.190001,30.190001,30.190001,29.530098,0
2022-08-17,29.959999,29.959999,29.959999,29.959999,29.305124,0
2022-08-18,29.940001,29.940001,29.940001,29.940001,29.285563,0
2022-08-19,29.580000,29.580000,29.580000,29.580000,28.933430,0
2022-08-22,28.959999,28.959999,28.959999,28.959999,28.326982,0
2022-08-23,28.830000,28.830000,28.830000,28.830000,28.199823,0
2022-08-24,28.879999,28.879999,28.879999,28.879999,28.248730,0
2022-08-25,29.209999,29.209999,29.209999,29.209999,28.571518,0
2022-08-26,28.299999,28.299999,28.299999,28.299999,27.681408,0
2022-08-29,28.150000,28.150000,28.150000,28.150000,27.534687,0
2022-08-30,27.959999,27.959999,27.959999,27.959999,27.348841,0
2022-08-31,27.670000,27.670000,27.670000,27.670000,27.065180,0
2022-09-01,27.639999,27.639999,27.639999,27.639999,27.035835,0
2022-09-02,27.459999,27.459999,27.459999,27.459999,26.859770,0
2022-09-06,27.379999,27.379999,27.379999,27.379999,26.781517,0
2022-09-07,27.870001,27.870001,27.870001,27.870001,27.260809,0
2022-09-08,28.020000,28.020000,28.020000,28.020000,27.407530,0
2022-09-09,28.500000,28.500000,28.500000,28.500000,27.877037,0
2022-09-12,28.900000,28.900000,28.900000,28.900000,28.268293,0
2022-09-13,27.760000,27.760000,27.760000,27.760000,27.153214,0
2022-09-14,27.780001,27.780001,27.780001,27.780001,27.172775,0
2022-09-15,27.530001,27.530001,27.530001,27.530001,26.928240,0
2022-09-16,27.299999,27.299999,27.299999,27.299999,26.703266,0
2022-09-19,27.430000,27.430000,27.430000,27.430000,26.830425,0
2022-09-20,27.020000,27.020000,27.020000,27.020000,26.429388,0
